"Standard","قياسي"
"Minimal","الادنى"
"Optional","اختياري"
"Required","متطلب"
"Hidden","مخفي"
"The fire checkout is disabled.","تم تعطيل مخرج الحريق"
"Fire Checkout Section","قسم مخرج الحريق"
"Fire Checkout","مخرج الحريق"
"Default Shipping Method","طريقة الشحن الافتراضية"
"Default Payment Method","طريقة الدفع الافتراضية"
"Default Country","الدولة الافتراضية"
"GeoIP","عنوان الإنترنت الجغرافي"
"Enable Country Detection","تفعيل تحري الدولة"
"<a href='http://geolite.maxmind.com/download/geoip/database/GeoLiteCountry/GeoIP.dat.gz' title='Download GeoIP database'>Download</a> and unzip file under the 'MAGETO_ROOT/lib/MaxMind/GeoIP/data' folder if you don't have it","<a href='http://geolite.maxmind.com/download/geoip/database/GeoLiteCountry/GeoIP.dat.gz' title='Download GeoIP database'>تحميل</a> و فتح الملف تحت ا'MAGETO_ROOT/lib/MaxMind/GeoIP/data' من الملفات اذا لم يكن موجودا لديك"
"Enable City Detection","تفعيل تحري المدينة"
"<a href='http://geolite.maxmind.com/download/geoip/database/GeoLiteCity.dat.gz' title='Download GeoCity database'>Download</a> and unzip file under the 'MAGETO_ROOT/lib/MaxMind/GeoIP/data' folder if you don't have it","<a href='http://geolite.maxmind.com/download/geoip/database/GeoLiteCity/GeoIP.dat.gz' title='Download GeoCity database'>تحميل</a> و فتح الملف تحت ا'MAGETO_ROOT/lib/MaxMind/GeoIP/data' من الملفات اذا لم يكن موجودا لديك"
"Show Shipping Address Form","عرض نموذج عنوان الشحن"
"Show Subscribe to Newsletter Checkbox","عرض صندوق الاشتراك في النشرة الاخبارية"
"Address Form Fields","حقول نموذج العنوان"
"Before changing some of the fields, be sure that your payment/shipping provider does not require them","قبل تغيير بعض الحقول, تأكد من ان موفر الدفع\الشحن الخاص بك لا يتطلبها"
"Output Type","نوع النتيجة"
"Create account for later use","تكوين حساب لاستخدام لاحق"
"Checkout Review","استعراض المخرج"
"Already registered? Login into your account","مسجل سابقا؟ ادخل الى حسابك"
"Show Comment Field","عرض حقل التعليق"
"Guest checkout is allowed","خروج الضيوف مسموح"
"Registration is required","التسجيل مطلوب"
"User is registered during checkout without prompting a password","المستخدم مسجل اثناء وقت الخروج دون تحديد كلمة سر"
"Registration mode","وضع التسجيل"
"Show Discount Coupon Field","عرض حقل كوبون الخصم"
"Firecheckout on Mobile Devices","مخرج الحريق على الاجهزة النقالة"
"Enable Region Detection","تفعيل تحري الاقليم"
"GeoIp filename","اسم ملف عنوان الانترنت الجغرافي"
"GeoIPRegion filename","اسم ملف عنوان الانترنت الجغرافي للاقليم"
"GeoCity filename","اسم ملف عنوان الانترنت الجغرافي للمدينة"
"<a href='http://www.maxmind.com/app/region' title='Purchase Region database'>Purchase</a>, download and unzip file under the 'MAGETO_ROOT/lib/MaxMind/GeoIP/data' folder if you don't have it","<a href='http://www.maxmind.com/app/region' title='Purchase Region database'>شراء</a>حمل و افتح الملف تحت اسم 'MAGETO_ROOT/lib/MaxMind/GeoIP/data'اذا لم يكن موجودا لديك"
"GeoIP is enabled but not included. geoip_open function doesn't found","عنوان الانترنت الجغرافي تم تفعيله لكن لم يتم شمله.  عملية فتح_عنوان الانترنت الجغرافي لم يتم العثور عليها"
"Country detection is enabled but %s not found","تم تفعيل تحري الدولة لكن % لم يتم العثور عليها"
"Region detection is enabled but %s not found","تم تفعيل تحري الاقليم لكن % لم يتم العثور عليه"
"City detection is enabled but %s not found","تم تفعيل تحري المدينة لكن % لم يتم العثور عليها"
"Redirect to firecheckout after adding an item to the shopping cart","اعادة التحويل الى مخرج الحريق بعد اضافة مادة الى عربة التسوق"
"Register customer during Paypal Express checkout if prompted","تسجيل العميل اثناء خروج بايبال اكسبرس اذا تم اضافته"
"Ship to the same address","شحن الى نفس العنوان"
"Validate taxvat number","تفعيل رقم قيمة الضريبة المضافة"
"Use online VIES validation","استخدام نظام تبادل معلومات قيمة الضريبة المضافة للتفعيل عبر الانترنت"
"Show Giftcard Field","عرض حقل بطاقات الهدية"
"Works with Magento Enterprise/Pro Versions Only","يعمل مع اصدارات ماجنتو للمؤسسات\المتخصصة فقط"
"Address Form Fields Sort Order","العنوان ترتيب حقول نموذج طلب"
"To place the fields in one row, set their order values in continuous chain: 1,2 or 12,13 or 20,21</br>To place fields in separate rows break the order values chain: 1,3 or 12,18 or 20,30","لترتيب الحقول في صف واحد, اضبط ترتيب القيم في سلسلة متواصلة: 1,2 او 12,13 او 20,21 </br> لوضع الحقول في صفوف منفصلة اكسر سلسلة ترتيب القيم: 1,3 او 12,18 او 20,30"
"Invalid VAT number","رقم ضريبة القيمة المضافة لاغ"
"The VAT validation service unavailable. Please re-submit your request later.","خدمة تفعيل ضريبة القيمة المضافة غير متاحة. الرجاء اعادة-ادخال طلبك لاحقا."
"The provided CountryCode is invalid or the VAT number is empty","رمز البلد المعطى لاغ او رقم قيمة الضريبة المضافة فارغ"
"The VAT validation service cannot process your request. Try again later.","خدمة تفعيل ضريبة القيمة المضافة لا يمكنها معالجة طلبك. حاول مرة اخرى لاحقا."
"Unknown VAT validation service message. Try again later.","رسالة خدمة تفعيل قيمة الضريبة المضافة غير معروفة. حاول مرة اخرى لاحقا."
"The provided CountryCode is invalid for the VAT number","رمز الدولة المعطة غير فعال لرقم قيمة الضريبة المضافة"
"Delivery Date and Time","معدل التسليم و الوقت"
"Delivery Date","تاريخ التسليم"
"Delivery Time","وقت التسليم"
"Display Mode","وضع العرض"
"Use Calendar","استخدام الرزنامة"
"Exclude the Weekend Days","استثناء ايام عطلة الاسبوع"
"Dates to Exclude","تواريخ للاستثناء"
"Use Time Range","استخدام نطاق الوقت"
"Time Ranges","نطاقات الوقت"
"We cannot deliver the package at the selected date. Please select another date for the delivery","لا يمكننا تسليم الرزمة في التاريخ المحدد. الرجاء تحديد تاريخ اخر للتسليم"
"We cannot deliver the package at the selected time. Please select another time for the delivery","لا يمكننا تسليم الرزمة في الوقت المحدد. الرجاء اختيار وقت اخر للتسليم"
"Show for All Shipping Methods","عرض لجميع طرق الشحن"
"Show for Specific Shipping Methods","عرض لطرق شحن محددة"
"MM/DD/YYYY","ش ش\ي ي\س س س س"
"There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","هناك عميل قد سجل بهذا البريد الالكتروني سابقا. الرجاء الدخول باستخدام هذا البريد الالكتروني او ادخل عنوان بريد الكتروني مختلف لتسجيل حسابك."
