"Checkout Fields","Checkout Fields"
"Field #1","Field #1"
"Field #2","Field #2"
"Field #3","Field #3"
"Field #4","Field #4"
"Field #5","Field #5"
"Show Field","Show Field"
"Options","Options"
"This option affects select elements only","This option affects select elements only"
"Textarea","Textarea"
"Print settings","Print settings"
"To enable pdf printing, open the app/code/local/TM/CheckoutFields/etc/config.xml file<br/> and uncomment the following line(~32):<br/> &lt;!-- <order_pdf_invoice>TM_CheckoutFields_Model_Order_Pdf_Invoice</order_pdf_invoice> --&gt;","To enable pdf printing, open the app/code/local/TM/CheckoutFields/etc/config.xml file<br/> and uncomment the following line(~32):<br/> &lt;!-- <order_pdf_invoice>TM_CheckoutFields_Model_Order_Pdf_Invoice</order_pdf_invoice> --&gt;"
"To enable pdf printing, open the app/code/local/TM/CheckoutFields/etc/config.xml file<br/> and uncomment the following line(~31):<br/> &lt;!-- <order_pdf_shipment>TM_CheckoutFields_Model_Order_Pdf_Shipment</order_pdf_shipment> --&gt;","To enable pdf printing, open the app/code/local/TM/CheckoutFields/etc/config.xml file<br/> and uncomment the following line(~31):<br/> &lt;!-- <order_pdf_shipment>TM_CheckoutFields_Model_Order_Pdf_Shipment</order_pdf_shipment> --&gt;"
